微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IsvbWtdEB,[置顶]有心人在那一年录了我的演讲《现代科学是怎么出现在中国的》卓克•【现代科学是怎么出现在中国的】  ,无,2020-02-03 17:13,微博 weibo.com,72,29,17
Iw7HGgfny,中国竟然还有这样的电影？？叹为观止，【周浩，《书记》】  ,无,2020-02-27 12:46,微博 weibo.com,50,7,29
Iw3e1t6fg,2月22日，已经是武汉又一次升级封锁等级后，一位在武汉刑满释放的女犯人，竟然坐着由家属开的车，连夜从武汉回到了北京。而且这人还是确诊患者。这辆车至少要经历：出北京---进武汉---出武汉---进北京。这4关。通行证，检查，测温。都是怎么过关的细节咱不知道。但可以肯定的是，所谓的“严防死守”并不一定存在。奇怪的是，生活里，我们的感受截然相反，武斗一样的防范措施随处可见。但这也没什么稀奇的，就像研究所研究不出什么，也就能应付每年的验收；药物所研发不了什么药，也就是拉高股价；国足别说走向世界了，东亚都难进前八，但只要把钱赚到就行了。各机构门口拉开架势测体温的，示数超35℃的比例有没有超过15%？严防？主要是内斗和互害。                                 ,无,2020-02-27 01:22,微博 weibo.com,157,36,53
Iw2dayAQh,今天下楼取快递没戴口罩，一进小区门，门卫问我为什么不戴，刚刚都有老太太一直在指着我投诉，然后他用红外温枪对着我的手腕测了一下，26.5℃（不是36.5℃）。我说，不是疫区，空气流动的室外不用戴，钟南山说的，就放我进去了。刚刚我又看到一篇新闻说，浙江疾控中心的成果：茶水可以杀灭并有效抑制细胞内新冠病毒。 都是今天的真事，就好像只有愚昧和造假是动真格的，其他都是装装样子。                  原图                             ,无,2020-02-26 22:47,微博 weibo.com,98,29,67
IvQ2867oR,史上最强一小时降噪方案：QC30+QC35，先戴入耳的，再戴耳麦的，就算是大象在我耳边怒吼也好像是若隐若现的嗡嗡声。  原图 ,无,2020-02-25 15:47,iPhone 11 Pro,47,3,30
IvPzTE16x,iPhone SE 2 的基带和天线用的是intel的还是改高通的了？  ,无,2020-02-25 14:38,微博 weibo.com,8,1,12
IvKPbfLbA,虽然是节目组安排好的宣传，但还是看到了世界各地听众对腾格尔《天堂》的真实反应。最常见的吃惊是以下几点1 没见过“呼麦”这种技巧，其中一个声乐教练小哥还试着呼了呼，竟然第一次就在舌头和喉头的配合里去掉了基准音，只保留了谐音部分，够厉害。2 对声音强度的收放幅度之大，从未见过。这也是我们拿腾格尔开玩笑的点“就像开着车奔驰在蒙古草原上，但轮子是方的。”3 一些同学的鸡皮疙瘩已经起来了，有些人听哭了4 对那种从“咆吼”到“徐徐道来”的唱法非常喜欢我是很喜欢在最后“一切顺其自然”之前有一段鼻腔共鸣的高音，第二次出现时和马头琴配合的非常完美。虽然我从前也是经常拿腾格尔的歌儿当段子听，但这次也是和大家的感受类似。但我在想一个问题，这样真挚的思乡之曲，他是在向永远回不去的家乡呐喊吗？             [组图共9张]      原图                             ,无,2020-02-25 02:32,微博 weibo.com,19,2,11
IvGbXceuY,FDA的双盲实验在测药效，张院士的好像在测半数致死剂量，不幸选入院士的对照组，那就是4成死亡率，快赶上埃博拉了。中西医结合大幅降低死亡率，张伯礼团队公布数据  原图 ,无,2020-02-24 14:44,微博 weibo.com,80,35,28
IvfCPErRp,这是什么意思呢？《第六版》把确诊的标准又改回了核酸试剂说了算，而《第五版》里是按临床中的特征算的。没想到公仆们就开始把因标准切换而不再属于确诊的数字往下减，但谁都知道应该在存量数字里减，但他们在每天的新增数字里减，于是最近新增确诊数字暴跌，好像拐点出现了。都什么时候了，还给老大放烟雾弹呢。                  原图                             ,无,2020-02-21 19:06,微博 weibo.com,50,16,21
IvcFoeNo9,假如2025年另外一种病毒疫情发生，会不会不像这次和上次那么糟糕呢？山东济宁已经给出了模拟考试答案，三天前不知道有多少“万，或者几十万”微信群就莫名其妙的被预防性的解散了，并且还把辟谣准备好了。  原图 ,无,2020-02-21 11:34,iPhone 11 Pro,75,20,19
