微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iwv8E0onE,严格来说我的人生是从25岁开始的，因为那年真正投入做事情开展事业，之前更多是遵循应该要走的路线，好好学习主要是。虽然我马上34岁了，但是这么一想，其实满血人生只用掉8年而已。仅仅8年有完全行动力的时间就能做到目前这么多事情，而我还可以战斗至少30年吧（很正常啊，预期寿命都80几岁了），因此还有非常多可能可以去做可以去探索可以去放大，这么一想对未来还是蛮期待的（期待地搓搓手）。三月，三月事业要大爆发！                                 ,无,2020-03-01 00:26,iPhone X,60,4,10
微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iwv8E0onE,严格来说我的人生是从25岁开始的，因为那年真正投入做事情开展事业，之前更多是遵循应该要走的路线，好好学习主要是。虽然我马上34岁了，但是这么一想，其实满血人生只用掉8年而已。仅仅8年有完全行动力的时间就能做到目前这么多事情，而我还可以战斗至少30年吧（很正常啊，预期寿命都80几岁了），因此还有非常多可能可以去做可以去探索可以去放大，这么一想对未来还是蛮期待的（期待地搓搓手）。三月，三月事业要大爆发！                                 ,无,2020-03-01 00:26,iPhone X,61,4,11
微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iwv8E0onE,严格来说我的人生是从25岁开始的，因为那年真正投入做事情开展事业，之前更多是遵循应该要走的路线，好好学习主要是。虽然我马上34岁了，但是这么一想，其实满血人生只用掉8年而已。仅仅8年有完全行动力的时间就能做到目前这么多事情，而我还可以战斗至少30年吧（很正常啊，预期寿命都80几岁了），因此...全文 ,无,2020-03-01 00:26,iPhone X,61,4,11
微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iwv8E0onE,严格来说我的人生是从25岁开始的，因为那年真正投入做事情开展事业，之前更多是遵循应该要走的路线，好好学习主要是。虽然我马上34岁了，但是这么一想，其实满血人生只用掉8年而已。仅仅8年有完全行动力的时间就能做到目前这么多事情，而我还可以战斗至少30年吧（很正常啊，预期寿命都80几岁了），因此还有非常多可能可以去做可以去探索可以去放大，这么一想对未来还是蛮期待的（期待地搓搓手）。三月，三月事业要大爆发！                                 ,无,2020-03-01 00:26,iPhone X,61,4,11
IqZMwoXXC,欢迎完整转发这段话，特殊时期帮到更多人~！好消息！万门大学决定无偿向全国中小学生提供线上寒假课程。中小学全学科，全年级，全免费‼️让您的孩子足不出户复习预习各门课程。共克时艰，中国加油[加油]小学初中高中全科寒假课程领取方式：http://t.cn/A6PUEEwi  ,无,2020-01-24 19:25,iPhone X,375,214,50
IqZkdbMzt,好消息！万门大学决定无偿向全国中小学生提供线上寒假课程。中小学全学科，全年级，全免费‼️直接联系任何小万君即可领取，也欢迎您把万门免费课推荐给其他寒假期间需要在家学习的孩子。少出门，勤洗手。戴口罩，不放松。共克时艰，中国加油[加油]  原图 ,无,2020-01-24 18:15,iPhone X,205,61,26
ImL5x6ZSJ,输入口令“好好学习天天万门大学”领阿哲的红包咯～🧧  原图 ,无,2019-12-27 22:39,iPhone X,5,0,5
IldCBtDD7,分享图片  原图 ,无,2019-12-17 19:37,iPhone X,42,2,8
IfCs0lUnb,想起了10年前的大口和小孩，代表中国在日本斗剧大赛夺冠的日子。其实哪有什么代沟？20多岁都在玩电竞，30多岁都在拼事业，40多岁都在买房。只不过有的人懂得提前拼事业，有的人懂得提前买房——现实主义枯燥。  ,无,2019-11-10 23:48,iPhone X,37,2,21
IeFGgp7TE,万门大学终身VIP最新人数更新，咨询VIP相关权益咨询请加微信wanmen003  原图 ,无,2019-11-04 18:11,iPhone X,10,1,8
HEQ4z3vru,在重庆的烈日下汗流浃背，32岁的中年大叔只懂奋力前行  原图 ,无,2019-07-23 21:42,iPhone X,88,1,33
HCWFpnvxm,今天早上6点多就在候机。无止境的早起晚睡和出差，恍惚间觉得这几年时间好像也没有发生，分不清眼前清晨阳光的场景是当年出国读书看到的还是等下见投资。只不过从前担心未来的感觉，再也没有了。这十年打拼，慢慢掌握了十八般武艺，感觉很爽。就是那种——我秃了，也变强了。完全没有任何后悔，也十分...全文 原图 ,无,2019-07-11 10:48,微博国际版,73,3,23
HwKaNbwEO,京东：给年轻人的极简金融课 童哲 万门大学 中信出版社图书天猫：【包邮 亲笔签名版】给年轻人的极简金融课 童哲著 万门大学校长经济金融科普书 中信出版社  [组图共9张] 原图 ,无,2019-05-31 15:58,微博 weibo.com,15,1,4
HwzTQbBZq,在机场的中信书店看到了自己的书  [组图共7张] 原图 ,无,2019-05-30 13:49,微博 weibo.com,21,0,3
HwgjmftNb,签名版：【包邮 亲笔签名版】给年轻人的极简金融课 童哲著 万门大学校长经济金融科普书 中信出版社  原图 ,无,2019-05-28 11:57,微博 weibo.com,11,0,5
Hw8ZY743S,基于最近发生的一些事，给大家推荐一本书。一旦政府以中间人的身份插手干预，良好的愿望往往会导致悲惨的结果。  原图 ,无,2019-05-27 17:20,微博 weibo.com,28,8,10
Hvuyc5lnA,猜我在说什么？留数定理、洛朗展开、希尔伯特空间、特殊函数、香克斯变换、格林函数、群论、张量分析、李群、多维随机变量、中心极限定理、随机微分方程、回归分析、拉格朗日变换、拉格朗日方程、变分法、哈密顿正则坐标、泊松括号、矢量分析、多极矩展开、辐射能流、四维张量、相对性原理、洛伦茨变...全文 ,无,2019-05-23 10:21,微博 weibo.com,14,1,9
HvlXQw7l6,没有学过经济学和金融，就像原始人在现代社会裸奔。  原图 ,无,2019-05-22 12:30,微博 weibo.com,23,4,17
Hv6QM3Owj,我的新书，书里的知识帮我在我人生的关键时刻，做出了最优决策，现在分享给你，跟中信出版社合作，感觉非常好，还要了优惠券给你们用，5000本签名版~【包邮 亲笔签名版】给年轻人的极简金融课 童哲著 【预售 5月下旬发货】中信出版社图书 正  [组图共2张] 原图 ,无,2019-05-20 22:01,微博 weibo.com,11,9,15
Hv2WNDSVU,年轻人到底要不要听长辈的话?我的经验是多数不要听。很多犬儒的长辈们会这样教导我们——“你们现在朝气蓬勃是幼稚的表现，以后就会慢慢明白”，这样一种观点不可证伪、且永远立于不败之地，本质上却是废话。  ,无,2019-05-20 12:05,微博 weibo.com,51,8,4
HuX9G4aR3,万门大学西安第二总部，明天520正式开张！可以容纳520人，明天坐在新场地直播，有来做客的吗？  [组图共4张] 原图 ,无,2019-05-19 21:20,微博 weibo.com,38,3,13
HuVXS2Ea2,"""一个人专业是什么”的重要性并不如世界观和与周遭朋友交流来得重要。  ",无,2019-05-19 18:19,微博 weibo.com,29,1,7
HuU4cB693,不是每件学到的内容都要能够在工作中使用才是有用的，基础性的构建其实真正影响着每一个人的所有判断，是全方位和终身性的。  ,无,2019-05-19 13:29,微博 weibo.com,48,8,2
HuO5mCPe8,法的本质是一套自洽的逻辑体系下的完成权责分割与监督。人是社会性的动物，权责的分割有助于避免冲突产生合作。而法律往往需要与当下的道德体系相协调，以产生最少的监督成本。也就是道德是最便宜的法律。同时由于自洽性的要求，人治天生无法自洽，这也更需要我们去关心法制的执行。  ,无,2019-05-18 22:15,微博 weibo.com,21,1,1
HuNp1uEeJ,学过经济学的都知道，现代社会是合作共赢的，其中商人的贡献功不可没。调度物资不是没有做出任何贡献，相反，贡献也不一定比生产本身来的少。投机倒把的罪名是莫须有的。同时一个人在自由市场下能挣到钱，一定为社会做出了比此更大的贡献。  ,无,2019-05-18 20:31,微博 weibo.com,23,0,3
HuLYBxY2n,人天生是特别容易接受阴谋论和谣言，这种特质写在我们的基因之中。在人类漫长的进化中往往同伴的信息能够避免极端的祸害，例如猛兽和泥沼，相信这样的论调比不相信来得更能保障基因免于损失，宁可信其有。但现代社会是一个广泛基于陌生人间信用和合作的社会，此时潜意识本能判断就不那么靠得住。  ,无,2019-05-18 16:53,微博 weibo.com,16,1,3
HuL8E6DGZ,给别人打工开始自己创业，该如何抉择？要不要借钱消费?瑞典的公平和中国香港的效率，选哪个？5月20日，20：00-21：00，我将在社群做一次分享，聊一聊我的新书，也分享一下我对上面问题的看法，感兴趣的同学戳图，我的同事会拉你进群。  原图 ,无,2019-05-18 14:45,微博 weibo.com,18,0,4
微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
