微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Iwujgj57a,讲一个发生在身边的管理学小案例吧。故事发生在我的小区。不过为了避免大家猜出地址，我会把数据调整一下，不影响情况说明。这个小区大体可以视做一个长方形，南北长，东西短，平均分布着八栋楼。小区一共有南北两个出口，南门有一条通车库的车道和一个人行门，北门是个大厅，只能供行人进出。1-...全文 ,无,2020-02-29 22:19,微博 weibo.com,8159,953,656
IwsxLnolg,能摆成这样，说明他平时对动物习性观察挺到位的。只是委屈了铁头……  原图 ,无,2020-02-29 17:50,无,2545,56,140
IwpKGzFBw,甭管我认识不认识，祝今天过生日的朋友们生日快乐。四年才一回，怪不容易的，多听几次祝福吧！  原图 ,无,2020-02-29 10:43,微博 weibo.com,8931,260,660
IwiRhrulu,马小烦爱听三国，所以我选了《出师表》让他背。当然，全文太难，我打算每天一句话，积少成多。没想到第一天计划就受挫了。我教他“先帝创业未半而中道崩殂，今天下三分，益州疲弊。” 逐字讲解之后，他理解还是有困难，背成了“先帝创业未半而中道疲敝，今天下三分，一周崩殂” ……  ,无,2020-02-28 17:10,无,5296,388,469
IwaDnlXeE,读《银元时代生活史》，看描述这个“萨门鱼”是三文鱼吗？@开水族馆的生物男  原图 ,无,2020-02-27 20:14,无,931,650,201
IvQJHerG1,靠百度诊断的病人，看来从民国时代就有了。这段对话充满了既视感啊。  [组图共2张] 原图 ,无,2020-02-25 17:35,无,6523,2322,489
IvNGdD9Oa,天不生乐高，（隔离期亲子关系）万古如长夜  ,无,2020-02-25 09:48,微博 weibo.com,4852,153,247
IvNrTn759,梦见去了一个小镇，镇子极小，五、六栋小楼，每栋都是四层，从网吧、小卖店到洗头店都有。镇子外面有一块写着“米而”二字的大石头，六层楼那么高。当地人说不要靠近石头，会有坏事发生。我不信邪，过去发了个自拍，回来得意洋洋说我没事啊。忽然接到朋友电话：“老马你号怎么炸了？” 然后醒了…  ,无,2020-02-25 09:12,微博 weibo.com,3895,114,250
IvE3H00Hl,你要练这俩字，爸爸可就不困了啊  原图 ,无,2020-02-24 09:18,无,5893,189,420
IvyVVDmkY,在大家纷纷晒假期磨炼出的厨艺时，一个北京朋友展现出独有的方向感  原图 ,无,2020-02-23 20:15,无,9016,603,794
IvxzSB4d1,原来巴甫洛夫的条件反射实验，不光拿狗做过，还拿他亲弟弟做过……他弟弟尼古拉倒不傻，说让我分泌唾液，普通的肉可不成，得用鱼子酱。这哥俩的互动都能写进相声里去了，太狗了。  原图 ,无,2020-02-23 16:48,无,136284,34175,5151
Ivpa5xOlR,因为新型肺炎的事儿，很多人又开始谈论起1910年那场哈尔滨大鼠疫以及伍连德。京虎子专门写过一本《国士无双》纪实。其实迟子建老师也写过一部以这场鼠疫为背景的小说《白雪乌鸦》。小说以当时爆发鼠疫最厉害的区域傅家甸为背景，写里面几户人家在大灾中的遭遇，灾劫下的人心描摹得极细腻，值得一看。  [组图共2张] 原图 ,无,2020-02-22 19:23,无,1996,623,203
IvhqbheMg,有人说疫情过后汽车销量大概会有反弹，我去查了某品牌官网，想了解一下市场价，顺便看到品牌文化，说是百年老店。兴趣所至，去查了他们生产的第一辆原型车，顺藤摸瓜看到法国人杜里埃发明的喉管型喷雾化油器，以及底特律的奥兹汽车厂火灾事件，顺便看了现代交通规则在伦敦的发展史。忽然想，谁是第一个...全文 [组图共2张] 原图 ,无,2020-02-21 23:40,无,4687,368,471
